Taxonomy,only_urban
CR+PC/LWAL+DNO/HEX:1,1
CR+PC/LWAL+DUC/HEX:1,1
"CR/LDUAL+DUC/HBET:11,20",1
"CR/LDUAL+DUC/HBET:6,10",1
CR/LFINF+DNO/HEX:2,
CR/LFINF+DNO/HEX:3,
CR/LFINF+DNO/HEX:4,1
CR/LFINF+DNO/HEX:5,1
CR/LFINF+DUC/HEX:2,1
CR/LFINF+DUC/HEX:3,1
CR/LFINF+DUC/HEX:4,1
CR/LFINF+DUC/HEX:5,1
CR/LFM+DNO/HEX:1,
CR/LFM+DNO/HEX:2,
MCF/LWAL+DNO/HEX:1,
MCF/LWAL+DNO/HEX:2,
MCF/LWAL+DNO/HEX:3,
MCF/LWAL+DUC/HEX:1,1
MCF/LWAL+DUC/HEX:2,1
MCF/LWAL+DUC/HEX:3,1
MR/LWAL+DNO/HEX:1,
MR/LWAL+DNO/HEX:2,
MR/LWAL+DNO/HEX:3,
MR/LWAL+DUC/HEX:1,1
MR/LWAL+DUC/HEX:2,1
MR/LWAL+DUC/HEX:3,1
MUR+ADO/LWAL+DNO/HEX:1,
MUR+ADO/LWAL+DNO/HEX:2,
MUR+ST/LWAL+DNO/HEX:1,
MUR/LWAL+DNO/HEX:1,
MUR/LWAL+DNO/HEX:2,
UNK/HEX:1,
W+WBB/LWAL+DNO/HEX:1,
W+WLI/LDUAL+DNO/HEX:1,
W+WLI/LDUAL+DNO/HEX:2,
W+WLI/LFM+DNO/HEX:2/SOS,
W+WS/LPB+DNO/HEX:1,
W+WS/LPB+DNO/HEX:2,
W+WWD/LWAL+DNO/HEX:1,